Fecha,Dia,Ciudad,Bloque,Hora,Actividad,Lugar,Transporte,Tipo,Reserva,Notas
2027-05-19,1,En tránsito,Tarde,14:00,Cruzar a San Diego y CBX a Tijuana,Cross Border Xpress Otay Mesa,CBX shuttle desde San Diego,Tránsito,No,Llevar pasaportes; reservar CBX online (~$30 USD/persona); llegar con tiempo al cruce
2027-05-19,1,En tránsito,Noche,22:00,Vuelo TIJ hacia PEK (Hainan Airlines),Aeropuerto Internacional de Tijuana (TIJ),Vuelo internacional,Vuelo,Sí — comprar con anticipación,~13h sin escala; reservar Premium Economy por las espaldas; hora real en fechas.config.json
2027-05-20,2,En tránsito,Mañana,—,En vuelo cruzando la línea de fecha,Hainan Airlines — en vuelo,Sin transporte (en vuelo),Vuelo,—,El día 20 se pierde al cruzar la línea internacional de cambio de fecha; aterrizaje técnico en madrugada del 21
2027-05-21,3,Beijing,Mañana,05:00,Llegada PEK y traslado al hotel,Aeropuerto Internacional Capital de Beijing (PEK),Traslado privado pre-reservado (aeropuerto al hotel; ~45 min),Llegada,Sí — pre-reservar traslado,Llegada en madrugada; solicitar early check-in; no tomar metro con maletas grandes y jet lag severo
2027-05-21,3,Beijing,Mañana,09:00,Check-in y descanso total — día de ajuste,Citadines Apart'hotel Central Beijing,—,Descanso,—,Jet lag ~15h; no planear ninguna actividad; descanso absoluto; baño caliente para la espalda
2027-05-21,3,Beijing,Noche,19:00,Cena suave cerca del hotel,Pang Mei Noodles o restaurante cercano al hotel en L1/L2,Metro L1 o a pie,Comida,No,Fideos qing dan (sin picante); explorar la cuadra con calma; regresar temprano a dormir; no caminar más de 15 min del hotel
2027-05-22,4,Beijing,Mañana,08:30,Ciudad Prohibida — Palacio Imperial (zona central y este),Ciudad Prohibida (Gugong) — entrar por Tian'anmen y salir por Shenwumen norte,Metro L1 Tian'anmen East (salida A — entrada este de la Ciudad Prohibida),Turismo,Sí — entrada online obligatoria con semanas de anticipación,Solicitar silla de ruedas en la entrada (gratis); ruta recomendada: eje central norte-sur; evitar subir al muro exterior; 2.5-3h de recorrido sin prisas
2027-05-22,4,Beijing,Almuerzo,12:30,Almuerzo en TRB Forbidden City — junto a la Ciudad Prohibida,TRB Forbidden City (Templo de la Sabiduría — frente a la CF),A pie desde salida norte de la Ciudad Prohibida (~5 min),Comida,Sí — reservar 1 semana antes,Cocina continental europea con vistas únicas; mismo barrio que la mañana — cero traslado; perfecta combinación con la visita matutina
2027-05-22,4,Beijing,Tarde,15:00,Descanso en hotel — reposo de espalda,Citadines Apart'hotel Central Beijing,Metro L1 Tian'anmen East (directo al hotel),Descanso,—,Regresar directo desde el almuerzo; reposo para la espalda; compresas de calor si hace falta; no salir en la tarde
2027-05-22,4,Beijing,Noche,19:30,Cena de Pato Pekinés — Quanjude Qianmen,Quanjude Qianmen (L2 Qianmen — mismo eje sur del hotel),Metro L2 Qianmen (misma línea que el hotel; 1 parada),Comida,Sí — reservar 1-2 días antes,Mismo eje geográfico que la mañana (Dongcheng/Qianmen); pedir sin guarniciones picantes; ritual del pato ~1.5h; regresar en metro L2 directamente al hotel
2027-05-23,5,Beijing,Mañana,07:00,Gran Muralla — Sección Mutianyu con telecabina (salida muy temprana),Gran Muralla de China — Mutianyu (Huairou),Auto privado pre-reservado (salida 07:00 del hotel; ~1.5h),Turismo,Sí — reservar auto privado con anticipación,Salida muy temprana para menos gente y fresquito; telecabina de subida obligatoria por la espalda; tobogán de bajada opcional; 2h en la muralla máximo; el auto espera
2027-05-23,5,Beijing,Almuerzo,13:00,Almuerzo en ruta de regreso — zona Mutianyu o en ruta,Restaurante de carretera camino de vuelta al hotel (el driver conoce opciones),Auto privado (el mismo que llevó a la muralla),Comida,No,El driver puede recomendar un restaurante local en ruta; sin necesidad de volver al centro para comer
2027-05-23,5,Beijing,Tarde,15:30,Regreso y descanso en hotel,Citadines Apart'hotel Central Beijing,Auto privado (regreso incluido en reserva),Descanso,—,Día más físico de Beijing; descanso total; masaje si el hotel lo ofrece; nada de actividades extra
2027-05-23,5,Beijing,Noche,19:30,Cena ligera en hotel o delivery,Citadines Apart'hotel Central Beijing — cocina propia o delivery,—,Comida,No,Usar cocina del apart-hotel o pedir delivery; noche de recuperación; nada de salir
2027-05-24,6,Beijing,Mañana,09:00,Universal Studios Beijing — apertura y atracciones (zona norte: The Wizarding World / Transformers),Universal Studios Beijing — empezar por atracciones al norte del parque,DiDi o Metro L7 Universal Resort (llegar 30 min antes de apertura),Parque,Sí — Express Pass y silla de ruedas,Comprar Express Pass en Trip.com o Klook (NO la app oficial); llevar pasaporte; silla de ruedas gratis en la entrada; strategy: ir primero a las atracciones del lado norte antes de que se llene
2027-05-24,6,Beijing,Tarde,13:00,Universal Studios Beijing — zona sur y desfiles (Hollywood/Kung Fu Panda/Minions),Universal Studios Beijing — recorrido por zonas restantes,Dentro del parque,Parque,—,Ritmo pausado; usar Express Pass para evitar filas largas; descansar entre atracciones en bancas y cafés; almuerzo dentro del parque; comer a las 13:00 cuando hay menos fila en restaurantes
2027-05-24,6,Beijing,Noche,19:00,Cena y descanso (opción noche en Universal Resort Hotel),Universal Studios Resort Hotel Beijing o regreso al hotel central,Metro L7 o DiDi,Comida,No,Opción: quedarse 1 noche en Universal Resort Hotel para entrar tempranísimo al día siguiente con ventaja sobre visitantes externos
2027-05-25,7,Beijing,Mañana,08:00,Templo del Cielo — Tiantan Park (misma zona sur de Beijing),Templo del Cielo — entrar por la puerta este (Tiantan Dongmen),Metro L5 Tiantandongmen East (salida A — entrada este del parque),Turismo,No (entrada online recomendada),Terreno plano con jardines amplios; ver tai chi local a las 8am en los parques circundantes; amplia zona sombreada; 1.5-2h de recorrido cómodo; quedarse en la zona sur de Beijing para el resto del día
2027-05-25,7,Beijing,Almuerzo,10:30,Almuerzo temprano en Lost Heaven (zona Dongcheng/sur) — cocina Yunnan,Lost Heaven — cercano al eje Templo del Cielo / Dongcheng,DiDi desde Templo del Cielo (~15 min; misma zona sur),Comida,No para almuerzo,Cocina Yunnan suave; misma zona geográfica sur/Dongcheng; comer temprano (10:30-11:00) para evitar espera; aprovechar que están en el mismo cuadrante de la ciudad
2027-05-25,7,Beijing,Tarde,13:00,Regreso al hotel y preparativos para Xi'an,Citadines Apart'hotel Central Beijing,Metro L5 desde Tiantan Dongmen → transbordo a L1 hacia el hotel,Descanso,—,Última tarde completa en Beijing; dejar maletas listas para mañana; confirmar reserva del tren bala; no hacer más actividades
2027-05-25,7,Beijing,Noche,19:30,Hutongs de Nanluoguxiang — paseo nocturno (último paseo en Beijing),Hutongs de Nanluoguxiang — callejuelas históricas de Dongcheng,Metro L6 Nanluoguxiang (salida sur) — o DiDi si están cansados,Turismo,No,Callejuelas históricas planas; ambiente barrial auténtico; rickshaw disponible para recorrer más sin caminar; muy fotogénico por la noche; solo si tienen energía — opcional si están cansados del viaje
2027-05-26,8,Beijing,Mañana,08:00,Check-out y traslado a Estación Beijing West,Estación de Trenes Beijing West (Beijing Xi),Metro L9 a Beijing West (salir del hotel ~08:00 para tren ~10:00),Logística,—,Salir del hotel ~2h antes del tren; L9 llega directamente a Beijing West; confirmar andén con antelación; desayunar en el apart-hotel antes de salir
2027-05-26,8,En tránsito,Mañana,10:00,Tren bala G — Beijing hacia Xi'an,Estación Beijing West (BXP) hacia Estación Xi'an Norte (XIY),Tren bala Serie G (~5h),Tren,Sí — 12306.cn o Trip.com,Clase Business para más espacio y reclinación; llevar almohada lumbar; snacks propios; almorzar en el tren o en la estación antes de subir; hora exacta en fechas.config.json
2027-05-26,8,Xi'an,Tarde,15:30,Llegada Xi'an Norte y check-in en hotel,Citadines Central Xi'an — L2 Bell Tower (~3 min a pie del metro),Metro L4 Xi'an Norte → transbordo L2 Zhonglou (Bell Tower) — 3 paradas,Llegada,—,Metro directo desde la estación; check-in en hotel; descanso breve; frescar y cambio de ropa
2027-05-26,8,Xi'an,Noche,19:00,Barrio Musulmán — mercado nocturno y cena callejera,Calle Beiyuanmen — Barrio Musulmán (Huimin Jie) — 10 min a pie desde el hotel,A pie desde el hotel Citadines L2 Bell Tower,Turismo y comida,No,Pedir Roujiamo (pan con carne de cordero) y Liangpi (fideos fríos); indicar bù là (sin picante) en cada puesto; zona completamente plana; muy pintoresca al anochecer
2027-05-27,9,Xi'an,Mañana,07:30,Guerreros de Terracota del Ejército de Qin (salida muy temprana),Mausoleo del Primer Emperador Qin (Lintong) — ~1h al este del centro,Auto privado pre-reservado (salida 07:30 del hotel; ~1h),Turismo,No (entrada online recomendada),Salida 07:30 para llegar a las 08:30 y tener 2h sin la multitud de grupos; carrito eléctrico disponible dentro del sitio arqueológico; terreno plano; llevar audífonos para audioguía
2027-05-27,9,Xi'an,Almuerzo,13:00,Almuerzo en Tongshengxiang (paomo de cordero) — en ruta de regreso,Tongshengxiang — en el centro de Xi'an cerca del hotel,Auto privado puede dejar en el restaurante de regreso,Comida,No — llegar antes de 13:30,El auto privado puede dejar directamente en el restaurante antes de regresar al hotel; aprovechar que ya están fuera; paomo de cordero sin picante; perfectamente en ruta
2027-05-27,9,Xi'an,Tarde,15:00,Descanso en hotel — siesta obligatoria,Citadines Central Xi'an,A pie desde el restaurante (muy cercano al hotel),Descanso,—,Siesta obligatoria; cuidar espalda tras mañana intensa con el auto privado; no planear ninguna actividad por la tarde
2027-05-27,9,Xi'an,Noche,19:00,Datang Everbright City — sesión de fotos con Hanfu o Qipao,Datang Everbright City (zona Tang nocturna iluminada) — sur de Xi'an,Metro L2 dirección sur + a pie 5 min o DiDi directo desde hotel,Experiencia y turismo,No (alquiler Hanfu in-situ ~100-200 CNY),Zona Tang iluminada espectacularmente desde las 19:00; alquiler de traje Hanfu o Qipao; muy fotogénico para fotos de aniversario; zona completamente plana; probar snacks en puestos del Datang
2027-05-28,10,Xi'an,Mañana,08:30,Muralla Antigua de Xi'an en carrito eléctrico,Muralla Antigua de Xi'an — entrar por la Puerta Sur (Nanmen) cerca del hotel,Metro L2 Zhonglou → a pie 5 min a puerta sur (Nanmen) — muy cerca del hotel Citadines,Turismo,No,Alquiler de carrito eléctrico en la muralla; vistas panorámicas de la ciudad antigua y moderna; 1.5h de recorrido; puerta sur está a pasos del hotel — máxima eficiencia; terminar antes de las 11:00 para llegar a la estación
2027-05-28,10,Xi'an,Almuerzo,10:30,Almuerzo express en Defachang (Dumpling Banquet) — junto a la Bell Tower,Defachang — Plaza de la Bell Tower (L2 Zhonglou; al lado del hotel),A pie desde la muralla o desde el hotel (~5 min),Comida,No — llegar a las 10:30 para primera rotación sin espera,Dumpling Banquet de 20+ variedades; al lado del hotel = cero traslado; pedir el set sin mariscos; muy eficiente para el día de viaje; check-out después del almuerzo
2027-05-28,10,Xi'an,Tarde,13:30,Check-out y traslado a Estación Xi'an Norte,Estación Xi'an Norte (XIY),Metro L2 Zhonglou → L4 Xi'an Norte (directo),Logística,—,Salir del hotel con maletas tras el almuerzo; L4 directo desde L2; llegar a la estación con 1.5h de anticipación para el tren G a Chengdu
2027-05-28,10,En tránsito,Tarde,15:30,Tren bala G — Xi'an hacia Chengdu,Estación Xi'an Norte (XIY) hacia Estación Chengdu Este (CDW),Tren bala Serie G (~3.5h),Tren,Sí — 12306.cn o Trip.com,Reservar con anticipación clase Business; llevar almohada lumbar; snacks propios; hora exacta en fechas.config.json
2027-05-28,10,Chengdu,Noche,20:00,Llegada Chengdu Este y check-in en hotel,The Temple House — Jinjiang District (centro de Chengdu),Metro desde Chengdu Este + DiDi al hotel (~30-40 min total),Llegada,—,Llegada nocturna; check-in en The Temple House; cenar algo ligero en el hotel o delivery
2027-05-28,10,Chengdu,Noche,21:00,Jinli Ancient Street — paseo de bienvenida (opcional si hay energía),Jinli Street (Calle Antigua Jinli) — a 10 min del Temple House,DiDi desde el hotel (~10 min) o a pie si hay energía,Turismo y comida,No,Opcional — solo si no están cansados del tren; ambiente nocturno colorido; souvenirs de pandas; zona plana y tranquila; regresar antes de las 23:00
2027-05-29,11,Chengdu,Mañana,07:45,Base de Investigación de Pandas Gigantes (salida muy temprana),Chengdu Research Base of Giant Panda Breeding — norte de Chengdu,DiDi directo desde hotel (~35 min; salir a las 07:45),Naturaleza,No (entrada online recomendada),Llegar a las 08:30 para ver pandas activos en la alimentación matutina; carrito eléctrico disponible en el sitio; usar DiDi (no metro; más eficiente con maletas / cansancio)
2027-05-29,11,Chengdu,Almuerzo,12:00,Almuerzo en Long Chaoshou (wontons clásicos) — zona Chunxi Road,Long Chaoshou — zona Chunxi Road (cerca del hotel),DiDi desde los pandas al restaurante (~25 min),Comida,No — sin reserva,Wontons qing dan (sin picante); muy económico; en la misma zona del hotel; perfecta parada de regreso de los pandas antes de ir al spa
2027-05-29,11,Chengdu,Tarde,14:00,Spa y descanso en hotel — tratamiento terapéutico de espalda,The Temple House — Spa propio del hotel (o Niccolo si es la opción elegida),A pie dentro del hotel,Descanso y bienestar,Sí — reservar spa del hotel con anticipación,Masaje terapéutico profundo para la espalda; reservar el tratamiento al hacer check-in el día anterior; tarde de recuperación total; no salir del hotel
2027-05-29,11,Chengdu,Tarde,17:30,Ceremonia de té — Heming Teahouse en Renmin Park,Heming Teahouse dentro de Renmin Park (People's Park),Metro L2 Tianfu Square → a pie 10 min hacia Renmin Park (o DiDi ~15 min desde el hotel),Experiencia,No,Sentarse en el jardín exterior; pedir té de jazmín o oolong; música en vivo de erhu; ritmo muy lento y reconfortante; limpiaorejas (~15 CNY) completamente opcional; regresar en DiDi para cenar en el hotel
2027-05-29,11,Chengdu,Noche,20:00,Cena suave en el hotel,The Temple House — restaurante Jing o Tivano del hotel,A pie dentro del hotel,Comida,No,Cena tranquila en el propio hotel después del spa y la ceremonia de té; pedir platos sin picante; recuperar energía para el día siguiente
2027-05-30,12,Chengdu,Mañana,09:00,Kuanzhai Xiangzi — Callejón Ancho y Estrecho (zona oeste de Chengdu),Kuanzhai Alley (Wide and Narrow Alleys) — Qingyang District,Metro L4 Kuanzhai Xiangzi (estación propia del callejón; 15 min desde hotel),Turismo,No,Zona histórica con boutiques; cafés; comida local; completamente plana y peatonal; ritmo muy relajado; fotos excelentes a primera hora cuando hay menos gente
2027-05-30,12,Chengdu,Almuerzo,11:30,Almuerzo en Gong Zhou Bashu Weiyuan — zona Kuanzhai o ruta de regreso,Gong Zhou Bashu Weiyuan — cocina Bib Gourmand cerca de Chunxi Road,DiDi desde Kuanzhai (~15 min) o camino de regreso al hotel,Comida,No — llegar antes de las 12pm,Bib Gourmand; platos estofados hongshao (más suaves); en ruta entre Kuanzhai y el hotel; pedir los platos no fritos con chile; muy asequible
2027-05-30,12,Chengdu,Tarde,13:30,Descanso en hotel — segunda sesión de spa o piscina,The Temple House o Niccolo Chengdu,A pie o DiDi,Descanso y bienestar,No,Tarde de recuperación total antes del vuelo a Shanghai mañana; piscina o masaje suave; no planear ninguna salida; empacar maletas por la noche
2027-05-30,12,Chengdu,Noche,19:30,Cena especial en Chengdu — Yu's Family Kitchen,Yu's Family Kitchen — casa privada del chef,DiDi desde el hotel (~20 min),Comida,Sí — reservar 1 semana antes,Chef en casa privada; cocina sichuanesa refinada adaptable sin picante; experiencia íntima y auténtica; perfecta última cena en Chengdu antes de Shanghai
2027-05-31,13,Chengdu,Mañana,07:30,Check-out y traslado al Aeropuerto Tianfu (TFU),Aeropuerto Internacional Tianfu de Chengdu (TFU),Metro L18 directo a TFU (salir hotel ~07:30; ~50 min en metro) o DiDi (~45 min),Logística,—,Metro L18 llega directo a TFU; salir con 3h de anticipación mínimo; TFU es el nuevo aeropuerto (2021) más lejos del centro; desayunar en el hotel antes de salir o en el aeropuerto
2027-05-31,13,En tránsito,Mañana,11:00,Vuelo doméstico TFU hacia Shanghai Pudong (PVG),Aeropuerto Internacional Pudong de Shanghai (PVG),Vuelo doméstico,Vuelo,Sí — Trip.com o 12306 aéreo,~2.5h; solicitar primera fila o asiento con espacio para la espalda; hora exacta en fechas.config.json
2027-05-31,13,Shanghai,Tarde,14:30,Llegada PVG y traslado al hotel — primera impresión de Shanghai,Fraser Suites Top Glory Shanghai — zona del Bund,Maglev PVG → Longyang Rd (L2) → East Nanjing Rd (~50 min total) o DiDi (~45 min),Llegada,—,Maglev es la opción más rápida y espectacular (430 km/h); DiDi es más cómodo con maletas; check-in en Fraser Suites con vistas al Bund
2027-05-31,13,Shanghai,Noche,20:00,The Bund — paseo nocturno de bienvenida a Shanghai,The Bund (Waitan) — frente al río Huangpu — a pie desde el hotel,A pie desde Fraser Suites (~5 min caminando),Turismo,No,Skyline del Pudong iluminado al otro lado del río; caminar suave ~45 min por el Bund; zona completamente plana; bienvenida perfecta a Shanghai; cenar algo ligero en el hotel antes de salir
2027-06-01,14,Shanghai,Mañana,08:30,Shanghai Disneyland — apertura y zona Castle of Magical Dreams primero,Shanghai Disneyland — empezar por el castillo y Fantasyland,Metro L11 Disney Resort (llegar 30 min antes de apertura a las 09:00),Parque,Sí — Premier Access y silla de ruedas,Comprar en Trip.com o Klook (NO la app oficial); llevar pasaporte; silla de ruedas gratis en la entrada; estrategia: ir primero al castillo antes de que lleguen los grupos; el parque es más grande que Anaheim
2027-06-01,14,Shanghai,Tarde,13:00,Shanghai Disneyland — Treasure Cove y TRON Lightcycle (las más populares),Shanghai Disneyland — zonas Treasure Cove y Tomorrowland,Dentro del parque,Parque,—,Ritmo pausado; Premier Access para TRON y Pirates of the Caribbean; almuerzo dentro del parque a las 13:00; Treasure Cove es la zona más espectacular visualmente
2027-06-01,14,Shanghai,Noche,19:00,Show nocturno de fuegos artificiales sobre el castillo (o regreso al hotel),Shanghai Disneyland — frente al castillo o regreso a Fraser Suites,Metro L11 para salir al final,Parque,No,Show nocturno muy espectacular desde el castillo; si están cansados salir antes del show y descansar; opción Toy Story Hotel si reservaron la noche en el parque
2027-06-02,15,Shanghai,Mañana,08:30,Jardín Yuyuan — entrar al abrir para menos gente,Jardín Yuyuan (Yu Garden) — jardín clásico del siglo XVI,Metro L10 Yuyuan Garden (salida 1),Turismo,No (entrada al jardín ~40 CNY online),Entrar al abrir (09:00) para ver el jardín relativamente tranquilo; 1h en el jardín; terreno relativamente plano
2027-06-02,15,Shanghai,Mañana,10:00,Bazaar de Yuyuan y Nanxiang Mantou Dian (Xiaolongbao histórico),Nanxiang Mantou Dian — en el bazaar de Yuyuan,A pie dentro del bazaar (adyacente al jardín),Comida,No — ir a las 10:00 para cola corta antes del mediodía,Primer piso accesible; el xiaolongbao más histórico de Shanghai; pedir vinagre de Zhenjiang y jengibre; combinar con compras de souvenir en el bazaar adyacente
2027-06-02,15,Shanghai,Tarde,13:00,Descanso en hotel — vista al Bund desde el apartamento,Fraser Suites Top Glory Shanghai,Metro L10 East Nanjing Rd (regreso directo),Descanso,—,Tarde libre con la vista al Bund y al Pudong desde la habitación del Fraser; reposo obligatorio para la espalda; no salir
2027-06-02,15,Shanghai,Noche,19:30,El Bund nocturno y cena en Scarpetta (pasta italiana),Scarpetta — zona Huangpu / Bund (cerca del hotel),DiDi desde hotel (~10 min) o a pie si el restaurante está cerca,Comida,Sí — reservar 5-7 días antes,Segunda visita al Bund con diferente perspectiva; Scarpetta: pastas italianas frescas artesanales; ambiente romántico para pareja; apto para Nadia y Roberto
2027-06-03,16,Shanghai,Mañana,09:30,Concesión Francesa y Tianzifang — callejuelas bohemias,Tianzifang Alley (Taikang Lu) — Luwan District,Metro L9 Dapuqiao (salida 2 — noroeste hacia Tianzifang),Turismo,No,Callejuelas bohemias con tiendas de diseño; arte; cafés coloniales; completamente plano; ritmo muy relajado; fotos excelentes en los callejones; explorar el barrio de la Concesión Francesa a pie
2027-06-03,16,Shanghai,Almuerzo,12:00,Almuerzo en Polux by Paul Pairet — zona Xintiandi (misma zona suroeste),Polux by Paul Pairet — Xintiandi (L1/L10 South Huangpi Rd),DiDi desde Tianzifang a Xintiandi (~15 min; misma zona suroeste de Shanghai),Comida,Sí — reservar 3-5 días antes,La hamburguesa de Polux es de las mejores de Shanghai — Roberto la va a amar; brunch/almuerzo; zona Xintiandi es adyacente a Tianzifang — mínimo traslado; Bib Gourmand Michelin
2027-06-03,16,Shanghai,Tarde,14:30,Descanso en hotel,Fraser Suites Top Glory Shanghai,DiDi o Metro L9 y luego L2/L10 al hotel,Descanso,—,Tarde de recuperación antes de noche especial para Roberto; evitar caminar si la espalda está cargada
2027-06-03,16,Shanghai,Noche,19:00,Arcades y zona gamer para Roberto + cena de confort,GIGA Mall o Xintiandi Arcade o Club Monaco Game Center,DiDi directo al arcade (zona Xintiandi ya conocida del almuerzo),Entretenimiento,No,Arcades estilo japonés (UFO catchers y simuladores de carreras); combinar con la hamburguesa de Polux si no la hicieron al almuerzo o buscar burger cerca; ambiente divertido sin presión; Roberto se lo merece
2027-06-04,17,Shanghai,Mañana,08:00,Excursión opcional a Suzhou — Jardín del Administrador Humilde (UNESCO),Suzhou — Jardín del Administrador Humilde (Zhuozheng Yuan),Metro L2/L17 → Shanghai Hongqiao + Tren de alta velocidad ~30 min a Suzhou (salir ~08:00),Turismo,No — solo si hay energía y espalda bien; completamente opcional,Si están cansados quedarse en Shanghai sin culpa; jardines patrimonio UNESCO con agua y puentes; tren muy frecuente; regresar al mediodía sin falta para descansar
2027-06-04,17,Shanghai,Tarde,13:00,Regreso a Shanghai y descanso o spa en hotel,Fraser Suites Top Glory Shanghai,Tren Suzhou → Hongqiao + Metro L2 o DiDi al hotel,Descanso y bienestar,No,Prepararse para la cena de aniversario más especial del viaje; descanso completo; ducharse y arreglarse bien; la velada de esta noche es el momento cumbre del viaje
2027-06-04,17,Shanghai,Noche,20:00,Cena de aniversario — Ren He Guan (1★ Michelin),Ren He Guan — Xuhui District (L9/L12 Zhaojiabang Rd),DiDi directo desde hotel (~20 min),Comida especial,Sí — URGENTE: reservar 4-6 semanas antes vía concierge del hotel,Cocina dulce-salada shanghainesa con música en vivo de erhu y pipa; pedir dongpo pork y verduras estofadas; el concierge del hotel gestiona la reserva y advierte sobre el menú; cena de celebración de aniversario — la velada más importante del viaje
2027-06-05,18,Shanghai,Mañana,09:30,East Nanjing Road — compras y souvenirs de último momento,East Nanjing Road peatonal — entre el Bund y People's Square,Metro L2/L10 East Nanjing Rd (a pie desde el hotel o 1 parada),Compras,No,Zona peatonal muy plana; tiendas de souvenir; grandes almacenes; sin prisa; último paseo de compras; el hotel está a pasos de East Nanjing Rd — máxima comodidad
2027-06-05,18,Shanghai,Almuerzo,12:00,Almuerzo de shengjianbao — Da Hu Chun o Yang's Dumplings (última vez),Da Hu Chun o Yang's Dumplings — zona East Nanjing Rd / Bund (a pie),A pie desde East Nanjing Rd (~5 min),Comida,No,La última dosis de shengjianbao antes de volver a casa; muy económico; sin picante; comer en la misma zona de las compras — cero traslado
2027-06-05,18,Shanghai,Tarde,14:00,Empacar maletas y logística del vuelo de regreso,Fraser Suites Top Glory Shanghai,—,Logística,—,Pesar maletas (límite Premium Economy); confirmar hora de traslado al PVG para mañana; preparar documentos de vuelo; pedir late check-out si es posible
2027-06-05,18,Shanghai,Noche,20:00,Última cena en Shanghai — Wei Xiang Zhai (fideos de sésamo) o Da Hu Chun,Wei Xiang Zhai o Da Hu Chun — zona East Nanjing Rd / hotel,A pie o Metro L2 East Nanjing Rd,Comida,No,Cena muy ligera antes del viaje de regreso; fideos de sésamo fríos o shengjianbao; guardar energía para el vuelo largo de mañana; regresar temprano a dormir bien
2027-06-06,19,Shanghai,Mañana,07:00,Check-out y traslado al Aeropuerto Pudong (PVG),Aeropuerto Internacional Pudong de Shanghai (PVG),Maglev desde Longyang Rd L2 (~8 min; ~50 CNY) o DiDi directo (~45 min),Logística,—,Salir del hotel con maletas ~07:00; maglev desde Longyang Rd (L2) es la opción más rápida y espectacular; llegar al aeropuerto con 3.5-4h de anticipación
2027-06-06,19,En tránsito,Mañana,11:00,Vuelo PVG hacia LAX sin escala,Los Angeles International Airport (LAX),Vuelo internacional,Vuelo,Sí — comprar con anticipación,Premium Economy; ~12h; llevar almohada lumbar y medicamentos para el viaje; aterrizaje en LAX mismo día calendario (cruzan línea de fecha en sentido inverso)
2027-06-06,19,En tránsito,Noche,18:00,Llegada a LAX y traslado a casa,LAX — conexión terrestre o vuelo corto a TIJ/SAN,Uber o familiar o vuelo corto,Logística,—,Según logística de regreso a casa; el cuerpo habrá hecho ~25h de viaje ese día; descanso inmediato al llegar
