Ciudad,Dia,Restaurante,Cocina,Michelin,Reserva,Anticipacion_reserva,Momento,Picante,Apto_sin_pescado,Metro,Notas
Beijing,3,Pang Mei Noodles (胖妹面庄),Fideos de Chongqing — versión suave disponible,Bib Gourmand Michelin 2025,No — sin reserva; mostrador directo,Llegar antes de las 20:30,Cena,Pedir versión qing dan (suave) o sin chile — siempre disponible,Sí,Sanlitun area o Dongcheng (varias sucursales),Fideos tipo Chongqing en caldo rico; pedir versión sin picante (qing dan); muy económico y rápido; perfecto para primera noche con jet lag; cerca del hotel Citadines L1/L2
Beijing,3,Gui Gong Fu,Dim sum y cocina cantonesa en Beijing,Bib Gourmand Michelin 2025,Sí — recomendado vía Dianping,1-2 días antes,Cena,No picante,Sí — dim sum de cerdo y verduras; pedir alternativas si no gustan las gambas,L1 o L5 zona Dongcheng,Dim sum de calidad Bib Gourmand; precio razonable; buena opción para primera noche sin riesgo de picante; ambiente familiar y sin pretensiones
Beijing,3,Tong He Ju,Cocina tradicional de Beijing — clásicos imperiales,Bib Gourmand Michelin 2025,No — sin reserva,Llegar antes de las 19:30,Cena,Baja — cocina tradicional pekingesa,Sí,Xicheng (cerca de Beihai Park) o DiDi,Institución de cocina pekingesa clásica; Zhajiang Mian (fideos con salsa de soja fermentada) excelentes; precio accesible con calidad Bib Gourmand; ambiente local auténtico; perfecta primera noche en Beijing
Beijing,4,TRB Forbidden City,Cocina Continental europea de autor — vistas a la Ciudad Prohibida,1 estrella Michelin 2025,Sí — web trb.cn o Dianping,1 semana antes,Almuerzo,No picante,Sí — menú europeo sin mariscos dominantes,Metro L1 Tian'anmen East + 5 min a pie,Perfecta para almuerzo especial el día de la Ciudad Prohibida; dentro del Templo de la Sabiduría frente a la CF; cocina continental refinada; vistas únicas en Beijing; misma zona que la visita matutina — cero traslado
Beijing,4,Quanjude Qianmen,Pato Pekinés — clásico fundado en 1864,No Michelin — institución histórica nacional,Sí — web oficial quanjude.com.cn o concierge del hotel,1-2 días antes,Cena,No picante,Sí — pato con panqueques y cebollín sin guarniciones picantes,L2 Qianmen,El restaurante más famoso de Beijing para pato; pedir sin guarniciones picantes; precio medio-alto; experiencia completa ~1.5h con el ritual del pato pekinés; misma línea L2 que el hotel — regreso directo
Beijing,4,Da Dong Roast Duck,Pato Pekinés contemporáneo — versión magra y moderna,2 estrellas Michelin 2025,Sí — Dianping o concierge del hotel,5-7 días antes,Cena,No picante,Sí,L10 Tuanjiehu (sucursal Sanlitun también),Versión moderna y estética del pato pekinés; más magro que Quanjude; ambiente elegante con 2 estrellas Michelin; elegir entre Quanjude (tradición) o Da Dong (modernidad y reconocimiento internacional)
Beijing,5,Bao Yuan Jiaozi Wu,Dumplings de colores — jiaozi artesanales multicolor,Michelin Selected 2025,No — sin reserva; llegar temprano,Llegar antes de las 18:30,Cena,Bajo — pedir sin chile,Sí — cerdo y verduras,L13 Chegongzhuang (Haidian) o DiDi,Famoso por sus jiaozi de colores naturales (remolacha roja; espinaca verde); experiencia visual y deliciosa; cena suave perfecta tras día físico en la muralla; porción generosa; económico
Beijing,5,Lost Heaven (迷失天堂),Cocina Yunnan — flores comestibles e ingredientes de montaña,Michelin Selected 2025,No para almuerzo — Sí recomendado para cena,2-3 días antes si van a cenar,Almuerzo o Cena,Baja — cocina Yunnan menos picante; pedir sin chile,Sí — cerdo de montaña y verduras sin mariscos,Courtyard Hotel area / Dongcheng (DiDi),Cocina del suroeste más suave; flores comestibles y hongos silvestres; ambiente bohemio en hutong renovado; versátil para almuerzo en ruta o cena suave tras la muralla
Beijing,5,Maison Boulud Beijing,Bistró francés clásico — Daniel Boulud en Beijing,Michelin Recommended 2025,Sí — maisonbouludbj.com o concierge,3-5 días antes,Cena,No picante,Sí — menú europeo completamente apto,L5 Dongsi o DiDi,Cocina francesa de autor en la antigua legación francesa de Beijing; comfort food europeo perfecto para Roberto tras día de muralla; excelente opción si quieren descansar de la cocina china
Beijing,6,Comptoir de France,Panadería y café francés — croissants y viennoiserie,No Michelin — muy valorado por expatriados,No — sin reserva,Ir antes de las 09:00 para más variedad antes de salir a Universal,Desayuno,No picante,Sí,Sanlitun / Chaoyang,Mejor croissant de Beijing según expatriados; desayuno perfecto antes de un día largo en Universal Studios; llevar algo para el camino; económico y delicioso
Beijing,6,Jing Yaa Tang,Pato Pekinés y cocina clásica de Beijing — hotel boutique,1 estrella Michelin 2025,Sí — vía The Opposite House hotel o OpenTable,5-7 días antes,Cena,No picante,Sí — pedir sin mariscos al reservar,Sanlitun (DiDi recomendado),Cena tranquila en The Opposite House Sanlitun tras el día de Universal; atmósfera elegante e íntima; versión refinada del pato pekinés; buena recompensa tras día de parque; reservar antes del viaje
Beijing,6,King's Joy (京兆尹),Cocina imperial vegetariana de Beijing — alta gastronomía,3 estrellas Michelin 2025 (única en Beijing),Sí — URGENTE: reservar vía concierge del hotel o WeChat oficial,4-6 semanas antes — reservar al mismo tiempo que los vuelos,Cena especial,No picante,Sí — 100% vegetariano sin mariscos,Cerca de Yonghegong (DiDi recomendado),El único restaurante con 3 estrellas Michelin en Beijing; cocina budista imperial vegetariana sofisticada; jardín imperial; experiencia gastronómica cumbre del viaje en Beijing; reservar con urgencia extrema
Beijing,7,Lost Heaven (迷失天堂),Cocina Yunnan — flores comestibles e ingredientes de montaña,Michelin Selected 2025,No — sin reserva para almuerzo,Llegar antes de las 11:30 o después de las 14:00,Almuerzo,Baja — cocina Yunnan; pedir sin chile,Sí — cerdo de montaña y verduras sin mariscos,Dongcheng (misma zona sur — cerca del Templo del Cielo; DiDi ~15 min),Almuerzo ideal en la misma zona sur de Beijing tras el Templo del Cielo; cocina suave y elegante; ambiente bohemio en hutong renovado; sin reserva para el almuerzo
Beijing,7,King's Joy (京兆尹),Cocina imperial vegetariana de Beijing — alta gastronomía,3 estrellas Michelin 2025 (única en Beijing),Sí — URGENTE: reservar vía concierge del hotel o WeChat oficial,4-6 semanas antes — si no se reservó para el Día 6 usar el Día 7,Cena,No picante,Sí — 100% vegetariano,Cerca de Yonghegong (DiDi desde Nanluoguxiang ~15 min),El único 3★ Michelin en Beijing; última noche en la ciudad — el momento ideal para la cena más especial; de Nanluoguxiang a King's Joy en DiDi son ~15 min
Beijing,7,Jing Yaa Tang,Pato Pekinés y cocina clásica de Beijing — hotel boutique,1 estrella Michelin 2025,Sí — vía The Opposite House hotel o OpenTable,5-7 días antes,Cena,No picante,Sí — pedir sin mariscos al reservar,Sanlitun (DiDi desde Nanluoguxiang ~20 min),Alternativa a King's Joy para la última noche en Beijing; 1★ Michelin; atmósfera íntima y elegante; versión refinada del pato pekinés para cerrar Beijing con broche de oro
Xi'an,8,Barrio Musulmán puestos (Huimin Jie),Cocina callejera Hui y local de Xi'an,No Michelin — mercado callejero auténtico,No — sin reserva,Ir entre 19:00-21:30 para el ambiente más animado,Noche y Snack,Variable — pedir bù là (sin picante) en cada puesto,Sí — elegir puestos con cordero o res; evitar mariscos,L2 Bell Tower / Zhonglou (a pie desde hotel Citadines — 10 min),Primera experiencia auténtica de Xi'an la noche de llegada; Roujiamo (pan con carne de cordero); Liangpi (fideos fríos de arroz); caqui glaseado; indicar siempre bù là; zona completamente plana
Xi'an,8,Laosongjia Muslim Noodles,Cocina musulmana Hui — fideos y cordero desde 1929,No Michelin — popular local,No — sin reserva,Llegar antes de las 20:00,Cena,No picante — cocina Hui es la más suave de China,Sí — cordero y fideos sin mariscos absolutamente,L2 Bell Tower / Zhonglou (dentro del Barrio Musulmán),Biangbiang mian (fideos anchos a mano) excelentes; Roujiamo el mejor de Xi'an; muy económico; dentro del Barrio Musulmán — a pasos del hotel Citadines
Xi'an,8,Old Sun Family Restaurant (老孙家),Paomo de cordero y cocina Hui clásica,No Michelin — institución local fundada en 1898,No — sin reserva,Llegar antes de las 19:00,Cena,No picante,Sí,L2 Dongdajie (Barrio Histórico) o DiDi,Competidor histórico de Tongshengxiang para el Yangrou Paomo; más económico y menos turístico; ambiente muy local auténtico; el cliente desmenuza el pan en la mesa (tradición importante de Xi'an)
Xi'an,9,Tongshengxiang (同盛祥),Paomo de cordero — institución de Xi'an fundada en 1900,No Michelin — institución histórica de Xi'an,No — sin reserva; ir temprano,Antes de las 13:30 — parada en ruta de regreso de los Guerreros de Terracota,Almuerzo,No picante — cocina Hui muy suave,Sí — base de cordero sin mariscos,L2 Bell Tower / Zhonglou + 10 min a pie,El auto privado puede dejar en el restaurante de regreso de Terracota; el cliente desmenuza el pan él mismo en la mesa (tradición importante); muy satisfactorio y sin picante; precio muy accesible
Xi'an,9,First Noodle Under the Sun (天下第一面),Noodles de Xi'an — variedad de fideos regionales,Michelin Selected Xi'an,No — sin reserva,Llegar antes de las 12:00,Almuerzo,Bajo — pedir versión sin salsa de chile,Sí,L2 Bell Tower area o DiDi,Especialidad en fideos de Xi'an de múltiples variedades; pedir versión qing dan sin salsa picante; económico; ambiente casual; buena introducción a los fideos de la región
Xi'an,9,Datang Everbright City Puestos (大唐不夜城),Snacks nocturnos en el distrito Tang iluminado,No Michelin — ambiente nocturno turístico,No — sin reserva,Ir entre 19:00-22:00 para la experiencia completa iluminada,Noche y Snack,Variable — pedir sin picante,Sí,Metro L4 Xiaozhai area o DiDi,Complemento perfecto para la sesión de fotos con Hanfu o Qipao; puestos de tang hulu (fruta con caramelo); bebidas de miel; helados creativos; ambiente Tang completamente iluminado; más turístico pero muy fotogénico
Xi'an,10,Defachang (德发长),Dumplings de banquete — Jiaozi Yan (festín de 20+ variedades),Michelin Selected Xi'an,No — sin reserva; puede haber espera corta,Llegar a las 10:30 para primera rotación sin espera,Almuerzo antes del tren,No picante,Sí — pedir el set sin mariscos al sentarse,L2 Bell Tower / Zhonglou (en la propia plaza Bell Tower — al lado del hotel),Al lado del hotel = cero traslado; Dumpling Banquet de 20+ variedades diferentes en una sola comida; pedir set sin mariscos; muy eficiente para el día de viaje antes del tren G a Chengdu
Xi'an,10,Laosongjia Muslim Noodles,Cocina musulmana Hui — fideos y cordero desde 1929,No Michelin — popular local,No — sin reserva,Llegar antes de las 12:00,Almuerzo rápido antes del tren,No picante — cocina Hui muy suave,Sí — cordero y fideos sin mariscos,L2 Bell Tower / Zhonglou (dentro del Barrio Musulmán — a pie desde hotel),Alternativa rápida y ligera antes del tren G a Chengdu; fideos Biangbiang mian; muy económico; a pie desde el hotel Citadines
Xi'an,10,Canton 8 (粤8),Dim sum y cocina cantonesa contemporánea,2 estrellas Michelin — único 2★ en Xi'an,Sí — Dianping o concierge del hotel,1-2 semanas antes,Almuerzo especial (solo si el tren sale después de las 15:30),No picante — cocina cantonesa,Sí — dim sum de cerdo y verduras disponibles,L2 Xiaozhai area o DiDi,El único 2★ Michelin en Xi'an; dim sum refinado lejos de lo esperado en la ciudad; solo viable si el tren G sale tarde; si las fechas lo permiten es la experiencia gastronómica más especial de Xi'an
Chengdu,10,Jinli Street Puestos (锦里古街),Snacks callejeros nocturnos en calle antigua,No Michelin — ambiente turístico colorido,No — sin reserva,Ir entre 20:30-22:00 — solo si hay energía tras el viaje en tren,Noche y Snack (llegada),Variable — muchos puestos con opciones sin picante,Sí — brochetas de res y cerdo sin salsa,Metro L3 Jinli o DiDi desde hotel (~10 min),Primer paseo en Chengdu la noche de llegada — solo si no están cansados; brochetas de carne sin salsa picante; zongzi (tamales de arroz); zona completamente plana; bienvenida colorida a Chengdu
Chengdu,10,The Temple House — Jing Restaurant,Cocina china contemporánea — restaurante del propio hotel,No Michelin — restaurante de hotel boutique de lujo,No — sin reserva (walk-in en el hotel),Sin espera — dentro del hotel,Cena suave (llegada cansada),No picante — adaptar con el personal del hotel,Sí,Dentro del hotel (a pie — sin traslado),La opción más cómoda al llegar cansados del tren; sin traslado alguno; el personal adapta platos sin picante; precio medio-alto pero conveniente; ideal si están agotados del viaje desde Xi'an
Chengdu,10,Long Chaoshou (龙抄手),Wontons y dumplings de Chengdu — versión suave,Michelin Selected Chengdu 2025,No — sin reserva; mostrador directo,Sin espera significativa fuera de hora pico,Cena suave al llegar,Pedir versión qing dan (suave) o sin chile,Sí — cerdo y verduras sin mariscos,L2 Chunxi Road area,Cena ligera y sin riesgo al llegar cansados a Chengdu; wontons delicados en caldo claro; muy económico; a 10-15 min del hotel en DiDi
Chengdu,11,Long Chaoshou (龙抄手),Wontons y dumplings de Chengdu — versión suave,Michelin Selected Chengdu 2025,No — sin reserva; mostrador directo,Sin espera fuera de 12-13h,Almuerzo (regreso de los pandas),Pedir versión qing dan (suave) sin chile,Sí — cerdo y verduras sin mariscos,L2 Chunxi Road area (cerca del hotel),Almuerzo perfecto de regreso de los pandas; wontons qing dan (sin picante); en la misma zona del hotel; muy económico; parada eficiente antes del spa
Chengdu,11,Bai Jia Da Yuan (白家大院),Cocina Sichuan tradicional — banquete en patio imperial,Michelin Selected Chengdu 2025,Sí — recomendado vía Dianping o concierge del hotel,2-3 días antes,Almuerzo,Media — pedir platos sin chile al reservar; informar restricciones,Sí — cerdo y verduras ampliamente disponibles,L4 Huayang o DiDi,Enorme restaurante en complejo de corte tradicional; menú variado con opciones sin picante; el concierge del hotel puede ayudar a seleccionar los platos correctos; más elaborado que Long Chaoshou para quienes quieren más variedad
Chengdu,11,Gong Zhou Bashu Weiyuan (公州巴蜀味源),Cocina Sichuan y Bashu clásica asequible,Bib Gourmand Michelin Chengdu 2025,No — sin reserva,Llegar antes de las 12:00,Almuerzo,Media — pedir los platos estofados (hongshao) que son más suaves que los fritos con chile,Sí,L4 Tianfu area o DiDi,Cocina casera sichuanesa de calidad Bib Gourmand; precio muy accesible; auténtico y sin aspecto turístico; la clave es pedir los estofados (hongshao) no los platos fritos con salsa de chile
Chengdu,12,The Hall,Cocina de autor — restaurante nuevo LV x Chengdu 2025,1 estrella Michelin 2025 — nueva estrella destacada,Sí — reserva esencial vía Dianping o WeChat oficial,2-3 semanas antes,Cena,No picante — alta cocina internacional,Sí — menú personalizable; informar alergias al reservar,Chunxi Road / Jinjiang (DiDi recomendado),Nueva estrella Michelin de Chengdu 2025; ambiente de lujo; menú degustación de temporada; perfecta para cena especial en Chengdu; el concierge del Temple House puede ayudar con la reserva
Chengdu,12,Mi Xun Teahouse (秘寻茶馆),Cocina de té y kaiseki chino — maridaje único,1 estrella Michelin + Green Star 2025 (sostenibilidad),Sí — reserva necesaria vía Dianping o WeChat,1-2 semanas antes,Tarde o Cena,No picante — sofisticada y delicada,Sí — menú adaptable; informar restricciones al reservar,L2 Chunxi Road area o DiDi,La única estrella Michelin AND Green Star de Chengdu; kaiseki chino con maridaje de tés artesanales; experiencia singular en China; ambiente zen minimalista; plazas muy limitadas — reservar con urgencia
Chengdu,12,Yu's Family Kitchen (喻家厨房),Cocina Sichuan elegante — casa privada convertida en restaurante,Michelin Selected Chengdu 2025,Sí — reserva obligatoria; muy pocas mesas,1 semana antes mínimo,Cena,Media — el chef adapta el picante a pedido; informar sin picante al reservar,Sí — cerdo y verduras; informar restricciones,Wuhou District o DiDi,Solo unas pocas mesas en casa privada del chef; cocina sichuanesa refinada y completamente adaptable; experiencia íntima y auténtica; perfecta última cena en Chengdu antes de volar a Shanghai
Shanghai,13,Yang's Dumplings (小杨生煎馆),Shengjianbao — versión rápida y popular de Shanghai,Bib Gourmand Michelin Shanghai 2025,No — sin reserva; mostrador,Sin espera significativa,Cena o Snack (llegada),No picante,Sí — cerdo puro,L2 East Nanjing Rd (varias sucursales),Primera probada de Shanghai la tarde de llegada; principal competidor de Da Hu Chun; crujiente por fuera; versión rápida y casual; perfecta para cena ligera tras volar desde Chengdu; muy económico
Shanghai,13,Lai Lai Xiao Long,Xiaolongbao — dumplings de sopa artesanales,Michelin Recommended Shanghai 2024,No — sin reserva,Llegar antes de las 20:00,Cena,No picante,Sí — pedir solo de cerdo (pork only); avisar sin mariscos,Varias sucursales — Jing'an y Huangpu,Buenos xiaolongbao a precio razonable; pedir vinagre de Zhenjiang y jengibre para acompañar; sin reserva; perfecta para primera noche de Shanghai si llegan con poco apetito o cansancio
Shanghai,13,M on the Bund,Cocina mediterránea — terraza con vistas al río Huangpu,Michelin Recommended Shanghai 2025,Sí — monthebund.com o concierge del hotel,3-5 días antes,Cena bienvenida con vistas,No picante,Sí — menú mediterráneo sin mariscos obligatorios,A pie desde Fraser Suites (~5 min),Bienvenida a Shanghai con vistas directas al río Huangpu y skyline de Pudong; cocina mediterránea accesible; perfecto para cena romántica de llegada; pionero del Bund desde 1999; la mejor primera impresión gastronómica de Shanghai
Shanghai,14,Da Hu Chun (大壶春),Dim sum — Shengjianbao (bollos fritos al vapor) icónicos,Bib Gourmand Michelin Shanghai 2024,No — sin reserva,Ir antes de las 08:30 antes de salir al parque,Desayuno antes de Disneyland,No picante,Sí — cerdo con masa de harina,L2 East Nanjing Rd,Desayuno icónico de Shanghai antes de un día largo en Disney; bollos fritos crujientes recién salidos de la sartén; salir al parque con el estómago lleno; muy económico (~30 CNY por ración)
Shanghai,14,Restaurantes dentro de Disneyland,Cocina variada — americana; temática; asiática,No Michelin — parque temático,No — sin reserva (comer temprano para evitar filas),Comer a las 11:30 antes de la hora pico o después de las 14:00,Almuerzo y Cena dentro del parque,No picante en los locales temáticos occidentales,Sí — opciones de hamburguesas y pasta disponibles,Dentro del complejo Disney L11,Comer dentro del parque durante el día; opciones occidentales sin picante en la mayoría de restaurantes; hamburguesas y comfort food para Roberto en el área de Toy Story o Fantasyland; no perder tiempo saliendo del parque
Shanghai,14,Yang's Dumplings (小杨生煎馆),Shengjianbao — versión rápida y popular de Shanghai,Bib Gourmand Michelin Shanghai 2025,No — sin reserva; mostrador,Sin espera,Cena al regresar del parque,No picante,Sí — cerdo puro,L2 East Nanjing Rd (varias sucursales),Cena rápida y sin esfuerzo al regresar cansados de Disney; económico; delicioso; sin traslado complicado; la opción más fácil tras un día entero en el parque
Shanghai,15,Nanxiang Mantou Dian (南翔馒头店),Xiaolongbao — histórico restaurante del Jardín Yuyuan (1900),Michelin Selected Shanghai 2025,No — sin reserva; fila en planta baja,Ir antes de las 11:00 para cola más corta,Almuerzo en Yuyuan,No picante,Sí — pedir solo de cerdo (pork only),L10 Yuyuan Garden (salida 1),Dentro del bazaar del Jardín Yuyuan; el xiaolongbao más histórico de Shanghai desde 1900; pedir vinagre de Zhenjiang y jengibre; primera planta más accesible sin espera larga; combinar con la visita al jardín — cero traslado
Shanghai,15,Lai Lai Xiao Long,Xiaolongbao — dumplings de sopa artesanales,Michelin Recommended Shanghai 2024,No — sin reserva,Llegar antes de las 12:00,Almuerzo,No picante,Sí — pedir solo de cerdo; avisar sin mariscos,Varias sucursales — Jing'an y Huangpu,Alternativa al Nanxiang si prefieren salir del área Yuyuan hacia otro barrio; buenos xiaolongbao a precio razonable; pedir vinagre de Zhenjiang y jengibre
Shanghai,15,Wu You Xian (无忧鲜),Dim sum de autor — primera estrella Michelin para dim sum en Shanghai,1 estrella Michelin Shanghai 2025 (primera en dim sum en la ciudad),Sí — Dianping o reserva directa,1-2 semanas antes,Almuerzo especial,No picante — dim sum cantonés refinado,Sí — informar restricciones al reservar,Jing'an o Huangpu (DiDi recomendado),Histórico: primera vez que dim sum recibe estrella Michelin en Shanghai; dim sum de autor con ingredientes premium; si te encantó el dim sum de tu amiga — este es EL lugar; experiencia culinaria única e irrepetible
Shanghai,16,Polux by Paul Pairet,Bistró francés contemporáneo — hamburguesas gourmet y brunch,Bib Gourmand Michelin Shanghai 2024,Sí — Dianping o web del restaurante,3-5 días antes (fines de semana reservar antes),Almuerzo o Brunch,No picante,Sí — menú europeo sin mariscos; hamburguesas perfectas para Roberto,L1/L10 South Huangpi Rd (Xintiandi) — adyacente a Tianzifang,Del chef Paul Pairet (Ultraviolet 3★); la hamburguesa es de las mejores de Shanghai; ideal para Roberto como comfort food; zona Xintiandi adyacente a Tianzifang — mínimo traslado; Bib Gourmand Michelin
Shanghai,16,Scarpetta,Italiana de autor — pastas frescas y pizzas artesanales,Michelin Recommended Shanghai 2025,Sí — concierge del hotel o web del restaurante,5-7 días antes,Cena,No picante,Sí — evitar platos con almejas o calamar; pastas de res/queso/verduras son seguras para Nadia,Huangpu / área del Bund (cerca de Fraser Suites),Pastas frescas artesanales excelentes; cocina italiana confiable y sin sorpresas para ambos; posible cena romántica alternativa más accesible; Roberto amará las pastas
Shanghai,16,M on the Bund,Cocina mediterránea — terraza con vistas al río Huangpu,Michelin Recommended Shanghai 2025,Sí — monthebund.com o concierge,3-5 días antes,Cena con vistas al Bund,No picante,Sí — menú mediterráneo sin mariscos obligatorios,A pie desde Fraser Suites (~5 min),Cena con vistas directas al río Huangpu y skyline Pudong iluminado de noche; cocina mediterránea elegante; alternativa a Scarpetta para quienes quieran comer con vistas al río; perfecto para noche romántica
Shanghai,17,Ren He Guan (仁和馆),Shanghainés clásico — hongshao rou y música en vivo,1 estrella Michelin Shanghai 2024,Sí — URGENTE: reservar vía concierge del hotel o WeChat oficial del restaurante,4-6 semanas antes — reservar al mismo tiempo que el hotel de Shanghai,Cena de aniversario,No picante — cocina dulce-salada shanghainesa (no usa chile),Sí — pedir dongpo pork y verduras estofadas; evitar platos de pescado entero o anguila; pedir ayuda al staff,L9/L12 Zhaojiabang Rd (Xuhui) o DiDi directo,La mejor experiencia gastronómica del viaje; música en vivo de erhu y pipa; cocina dulce-salada shanghainesa; el concierge del hotel gestiona la reserva; opción preferida para la cena de aniversario — reservar con máxima urgencia
Shanghai,17,Fu He Hui (福和慧),Alta cocina vegetariana zen — filosofía budista,2 estrellas Michelin Shanghai 2025,Sí — reserva esencial; plazas muy limitadas,4-6 semanas antes,Cena especial alternativa,No picante — refinada y suave,Sí — 100% vegetariano sin mariscos,L2/L10 Jing'an Temple (DiDi recomendado),Alternativa a Ren He Guan si no consiguen reserva; 2★ Michelin con cocina vegetariana zen sofisticada; presentación artística; filosofía mindful; 100% apto para Nadia sin mariscos ni picante; también reservar con mucha anticipación
Shanghai,17,8½ Otto e Mezzo Bombana,Alta cocina italiana — Chef Umberto Bombana,2 estrellas Michelin Shanghai 2025,Sí — ottoemezzobombana.com.hk o concierge del hotel,2-3 semanas antes,Cena especial alternativa,No picante,Sí — menú italiano completamente apto para Nadia sin mariscos obligatorios,L2/L10 East Nanjing Rd (cerca del Bund),Segunda alternativa para la cena de aniversario si Ren He Guan y Fu He Hui están completos; cocina italiana de élite por Umberto Bombana (rey de la trufa blanca); Roberto lo disfrutará muchísimo también
Shanghai,18,Da Hu Chun (大壶春),Dim sum — Shengjianbao (bollos fritos al vapor) icónicos,Bib Gourmand Michelin Shanghai 2024,No — sin reserva,Ir antes de las 10:00 para menos cola,Desayuno o Almuerzo,No picante,Sí — cerdo con masa de harina,L2 East Nanjing Rd,Última dosis de shengjianbao antes de volver a casa; bollos fritos crujientes recién salidos; comer recién salidos de la sartén; zona East Nanjing Rd donde también van de compras — cero traslado; muy económico
Shanghai,18,Yang's Dumplings (小杨生煎馆),Shengjianbao — versión rápida y popular de Shanghai,Bib Gourmand Michelin Shanghai 2025,No — sin reserva; mostrador,Sin espera,Desayuno o Snack,No picante,Sí — cerdo puro,L2 East Nanjing Rd (varias sucursales),Alternativa a Da Hu Chun para el último día; comparar ambos durante el viaje; muy rápido; perfecto para el día de empacar y logística del vuelo de mañana
Shanghai,18,Wei Xiang Zhai,Fideos de sésamo fríos (Liang Mian) — especialidad shanghainesa,Bib Gourmand Michelin Shanghai 2024,No — sin reserva,Llegar antes de las 11:00; suelen agotarse al mediodía,Almuerzo,Opcional — pedir qing dan (suave) o la salsa picante aparte,Sí,L1/L14 Huangpi South Rd,Fideos fríos con pasta de sésamo; pedir sin salsa de chile o aparte para que Nadia controle; muy económico y satisfactorio; último recuerdo shanghainés antes de volar de regreso a casa
